run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
BTEN_z85_s1,0.50,0.033,Composite,9.39e9,0.33,0.065,0.043,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.050,2.2e9,0.48,0.68,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.018,0.022,0.005,Z,0.67,Liquid,2200000000.0,440029.33528897085,Yes
BTEN_z85_s2,0.50,0.033,Composite,9.39e9,0.33,0.065,0.043,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.050,2.2e9,0.48,0.68,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.018,0.022,0.005,Z,0.67,Liquid,2200000000.0,440029.33528897085,Yes
BTEN_z85_s3,0.50,0.033,Composite,9.39e9,0.33,0.065,0.043,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.050,2.2e9,0.48,0.68,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.018,0.022,0.005,Z,0.67,Liquid,2200000000.0,440029.33528897085,Yes
BTEN_z85_s4,0.50,0.033,Composite,9.39e9,0.33,0.065,0.043,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.050,2.2e9,0.48,0.68,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.018,0.022,0.005,Z,0.67,Liquid,2200000000.0,440029.33528897085,Yes
BTEN_z85_s5,0.50,0.033,Composite,9.39e9,0.33,0.065,0.043,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.050,2.2e9,0.48,0.68,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.018,0.022,0.005,Z,0.67,Liquid,2200000000.0,440029.33528897085,Yes
